EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,4,8,1,7,6,7,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,8,4,8,1,7,6,7,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,4,8,1,7,6,7,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,4,8,1,7,6,8,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,5,9,1,4,6,8,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,9,5,9,1,4,7,9,5,10,kontserdinärv; hobi; ebapopulaarne; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; muusikakeskkool
7,9,6,9,3,5,7,8,6,10,kontserdinärv; hobi; ebapopulaarne; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; muusikakeskkool
6,7,7,7,4,7,7,8,6,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
5,8,8,7,5,7,8,8,7,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
7,8,7,6,5,8,5,7,6,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
5,7,7,6,5,6,6,7,6,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
