EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,9,5,10,7,9,7,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; ulg; hunt; kari; alam-pedja; marko; alfa
6,6,7,9,5,10,7,9,7,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; ulg; hunt; kari; alam-pedja; marko; alfa
6,6,9,9,5,10,8,9,7,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; ulg; hunt; kari; alam-pedja; marko; alfa
7,5,10,9,5,10,8,9,7,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; ulg; hunt; kari; alam-pedja; marko; alfa
5,6,11,9,5,10,8,10,6,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; marko; kutsikas; hunt; ulg; kari; alam-pedja; territoorium; alfa
7,7,11,10,5,12,9,10,7,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; marko; kutsikas; hunt; ulg; kari; alam-pedja; territoorium; alfa
6,8,9,10,9,10,8,10,7,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; hunt; ulg; kari; alam-pedja; marko; alfa
7,8,10,11,11,9,10,9,8,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; marko; kutsikas; hunt; ulg; kari; alam-pedja; territoorium; alfa
8,11,9,10,9,10,9,10,8,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; marko; kutsikas; hunt; ulg; kari; alam-pedja; territoorium; alfa
5,11,10,10,12,7,9,13,9,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; hunt; ulg; kari; alam-pedja; marko; alfa
9,9,10,10,11,8,9,11,9,15,rootsi; jahimees; murdmine; ilmar; looduskaitseala; territoorium; kutsikas; hunt; ulg; kari; alam-pedja; marko; alfa
