EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,6,3,2,4,7,4,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
5,4,6,3,4,5,8,4,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
5,4,6,3,4,5,8,6,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
5,4,6,3,4,5,8,6,11,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
6,4,8,3,6,8,8,7,11,14,august; johannes; keel; raud; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
7,3,9,3,8,9,8,9,11,14,august; johannes; keel; raud; tuglas; hellitus; friedebert; hermann; karl; küsimus; salonen; armas
4,3,10,10,9,9,8,10,11,14,august; johannes; keel; raud; tuglas; hellitus; hermann; karl; friedebert; küsimus; salonen; armas
6,3,10,9,9,8,6,11,11,14,august; johannes; raud; keel; tuglas; hellitus; hermann; karl; friedebert; küsimus; salonen; armas
5,5,9,10,11,8,6,11,10,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
6,3,8,9,12,7,5,11,11,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
6,4,9,9,11,8,6,11,9,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; salonen; armas
