EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
2,0,2,0,0,2,2,3,0,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall
