EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
0,2,1,1,0,2,2,1,1,10,vabadus; kolhoos; talu; kompenseerima; õigus
