EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
2,2,3,1,0,1,3,2,2,20,kristus; konstantinoopol; kirikukalender; johannes; pühakutepäev; sostumus; gregorius; efesos; jumal
