EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,3,1,0,2,1,3,2,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,2,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,2,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,3,2,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,4,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
2,1,3,1,0,2,1,4,3,12,külalisesinemine; teatritrupp; vilimaa; ooperilavastus; ostrava; tšehhoslovakkia; sõprusteater
