EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
3,2,2,1,0,3,2,3,0,10,mälestus; ühislaulmine; laulukaar; proov; repertuaar; laulupidu
