EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
1,2,5,0,2,0,5,2,2,11,strandberg; füüsika; elektron; marek; telekas; analoogantenn; valgus; signaal
