EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
3,0,1,2,0,3,6,2,0,13,muusikamaitse; eesti; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; andres; klassikaraadio; olümpiamängud
