EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
0,1,3,2,0,4,4,4,1,14,kollektiiv; ehitusvalitsus; põlevkivitootja; põlevkivikaevandus; ehitaja; nõukogu; kohustuseaasta
