EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,1,4,3,2,3,3,2,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,2,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,3,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,3,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,3,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,3,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,2,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,2,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,2,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,2,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
4,5,1,4,3,2,3,3,3,11,vaev; hing; jänesekapsas; põrm; hirm; kevadine; ihu; muld; kopsurohi; metsaalune
