EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,7,4,5,6,6,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,7,4,5,6,6,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,7,6,5,6,6,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,7,6,6,6,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,7,6,7,6,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,7,6,7,7,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
7,7,7,7,7,7,7,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,7,6,7,7,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,7,7,6,7,7,7,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
7,7,7,6,7,7,7,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
6,6,7,6,7,7,7,7,7,12,uusorg; margo; võistlus; jooksma; distants; ulrich; strateegia
