EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
11,11,11,11,11,11,11,11,11,12,nurk; raamat; võitlus; kiri; põrand; vangla; ämber; saun; kavalus; sidepidamine; martin
