EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,6,7,8,6,7,6,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,8,6,7,7,6,7,6,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
9,8,5,7,7,6,7,6,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
9,8,6,7,7,7,7,6,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,6,8,8,8,8,6,7,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
8,7,10,9,8,8,8,9,10,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
8,9,8,7,8,8,9,9,10,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
9,10,7,8,8,8,10,7,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
7,10,10,8,10,9,5,8,7,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
7,10,8,8,9,8,9,8,9,14,torn; park; paruness; loss; muuseum; uusgoot; ornament; stiil; haar; holland; restaureerimistöö
7,9,11,8,9,8,8,10,9,14,torn; park; paruness; loss; muuseum; ornament; uusgoot; stiil; haar; holland; restaureerimistöö
