EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,5,6,3,5,4,5,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
8,8,5,6,3,5,4,5,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
8,9,6,6,3,6,4,6,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
9,9,7,6,4,6,4,6,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
8,9,8,6,5,8,5,7,8,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
7,10,7,7,5,10,5,7,8,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
7,9,8,5,6,9,8,9,8,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
7,8,6,8,5,9,9,6,8,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
6,9,6,7,5,8,9,8,6,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
6,8,6,7,5,8,7,7,7,12,majandus; eesti; sotsiaalne; eurotsoon; intressimäär; rahaliit; eelarvepoliitika; heaolu; föderatsioon; kroon
7,9,7,7,5,8,8,6,6,12,majandus; eurotsoon; intressimäär; heaolu; föderatsioon; kroon; eesti; sotsiaalne; rahaliit; eelarvepoliitika
