EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,13,12,10,8,5,6,9,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; päts; märgukiri; partei; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
9,13,11,10,8,5,6,9,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; päts; märgukiri; partei; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
10,13,12,10,8,4,6,10,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; päts; märgukiri; partei; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
9,13,13,10,8,4,6,10,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; päts; märgukiri; partei; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
9,13,12,11,8,6,9,11,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; päts; märgukiri; partei; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
8,12,12,12,9,6,9,13,11,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; päts; partei; märgukiri; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
7,13,11,12,8,7,10,12,11,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; partei; päts; märgukiri; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
11,12,12,11,10,7,12,11,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; partei; märgukiri; päts; valitsus; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
10,10,9,11,11,10,11,12,13,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; märgukiri; päts; partei; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
9,10,9,11,10,10,10,10,12,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; märgukiri; partei; päts; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
9,10,12,11,11,10,11,12,11,14,rahvavalitsus; koostöö; konverents; demokraatlik; sõda; valitsus; partei; päts; märgukiri; kommunistlik; tööline; ametiühing; rahulolematus; välisminister
