EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,7,8,2,10,11,8,8,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
12,8,8,9,2,10,11,8,8,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
12,8,8,9,2,10,10,8,8,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
12,8,10,9,2,11,10,10,9,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
11,8,12,10,2,12,11,11,9,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
10,9,11,10,4,12,12,11,9,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; kontsert; tõnu; eesti; pärt; akustika; arvo
8,7,11,10,6,10,11,9,8,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; kontsert; tõnu; eesti; pärt; akustika; arvo
10,9,11,10,7,10,8,10,8,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
11,7,10,10,8,9,6,11,7,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; tõnu; kontsert; eesti; pärt; akustika; arvo
9,8,12,10,9,8,6,9,7,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; kontsert; tõnu; eesti; pärt; akustika; arvo
8,7,11,10,9,8,5,11,7,16,riiklik; sümfooniaorkester; kontserdisaal; läänemeri; paavo; festival; kontsert; tõnu; eesti; pärt; akustika; arvo
