EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
8,8,8,8,8,8,8,8,8,13,vähemus; väärtus; jumalik; seadus; liit; kristlik; autoriteet; euroopa
