EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,9,7,12,6,9,11,12,8,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
13,9,10,12,6,9,11,12,9,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
12,9,10,12,6,9,11,12,9,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
11,11,11,12,6,11,12,13,9,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
11,11,11,12,5,13,12,13,8,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
12,11,9,11,8,13,12,12,8,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
10,12,12,10,11,13,12,12,8,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
9,10,10,12,13,12,12,13,9,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
10,10,13,12,13,12,11,13,10,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
9,10,11,12,12,10,9,10,11,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
8,10,12,11,13,10,8,9,12,15,tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; graafikatraditsioon; graafikatriennaal; kuraator
