EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,9,4,5,5,4,5,3,6,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
5,9,5,5,5,4,5,6,6,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
5,9,5,5,6,5,5,6,6,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
5,9,8,6,6,8,7,6,6,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
6,9,9,7,6,8,9,7,6,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
7,9,8,7,6,9,9,8,6,13,eino; muusika; institutsioon; publik; tamberg; eesti; steinway; traditsioon; noor
9,9,9,7,6,7,9,7,6,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
8,7,7,7,7,9,9,7,5,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
8,6,8,8,7,9,8,8,7,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
7,8,9,8,8,9,8,7,7,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
7,8,7,7,8,9,7,8,7,13,eino; muusika; institutsioon; eesti; steinway; traditsioon; publik; tamberg; noor
