EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,7,7,9,5,4,5,8,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
9,9,8,7,9,5,4,5,8,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
9,9,7,7,8,6,4,5,7,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
10,9,7,7,8,7,5,5,7,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
10,8,9,7,8,7,5,8,7,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
9,7,8,9,7,7,7,7,7,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
9,10,10,9,7,9,10,9,7,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
8,8,10,10,9,10,9,9,8,12,arheoloog; inimloomus; nappus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; nälg; ühiskond; ellujäämine
7,10,11,8,9,10,10,11,8,12,arheoloog; nappus; inimloomus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
8,8,10,9,8,9,11,9,8,12,arheoloog; nappus; inimloomus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
8,10,10,8,11,9,11,10,8,12,arheoloog; nappus; inimloomus; rahvaarv; sõda; konkurents; ökoloogiline; ressurss; tasakaal; ühiskond; nälg; ellujäämine
