EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,8,11,12,8,7,8,13,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
11,12,10,11,12,8,9,9,13,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
11,12,10,12,12,9,11,10,13,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
11,12,11,12,12,11,10,11,13,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
11,12,11,11,12,12,14,11,13,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
9,13,13,12,12,12,14,12,13,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
9,12,14,13,12,14,12,14,13,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
12,11,14,13,12,13,12,14,13,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
12,10,13,12,13,14,13,12,14,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
13,13,14,12,12,13,13,13,14,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
11,12,14,12,9,14,12,13,13,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
