EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,4,7,4,3,2,6,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,11,4,7,4,3,2,6,5,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,11,3,7,4,3,2,6,5,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,11,6,7,4,4,3,6,5,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
10,11,8,8,5,5,6,6,5,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
11,11,10,7,5,5,7,7,5,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
9,10,11,11,6,7,9,8,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
9,10,11,11,8,8,7,10,6,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
8,10,10,11,8,8,8,10,6,13,rektor; sidejaoskond; arenduskeskus; majandusjuht; ülikool; perekond; concordia; kolu; mõisaproua; mõis; kursus
8,9,10,11,9,9,9,10,7,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
7,9,9,9,8,9,10,10,7,13,rektor; sidejaoskond; arenduskeskus; ülikool; majandusjuht; perekond; concordia; kolu; mõisaproua; mõis; kursus
