EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,6,3,6,6,5,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,7,4,7,3,6,6,5,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,7,5,7,3,6,6,5,7,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,7,6,7,3,6,6,6,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,6,7,7,3,6,7,6,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
5,7,8,7,3,7,7,6,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,7,7,7,5,7,8,5,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,8,8,8,4,8,7,7,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,8,8,8,5,7,7,6,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
6,7,8,8,5,8,8,8,6,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
7,7,8,8,4,7,7,6,7,15,erakond; kirik; laps; kriis; suure-jaan; liit; tartu; euroopa
