EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,7,7,8,7,7,7,6,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
10,9,7,7,8,8,7,7,6,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
10,9,7,7,8,8,7,7,6,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
10,9,8,7,8,8,7,6,6,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
10,9,9,7,8,7,7,8,5,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
9,9,8,7,6,6,7,9,6,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
7,6,7,5,7,8,8,9,5,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
7,10,9,5,5,6,6,8,5,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
8,9,7,6,5,6,6,8,5,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
7,9,7,5,4,7,7,9,5,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
7,8,6,6,5,7,7,9,5,12,süsteem; üldmõiste; isereguleeruv; mõtlemine; indoeuroopa; eesti; kõnekeel; keel; alaväärsustunne; hägusus; tõlkima
