EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,13,7,9,8,8,7,8,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
13,13,9,9,8,8,7,8,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
13,13,9,9,9,8,7,10,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
14,13,10,9,10,8,7,11,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
13,13,12,10,13,8,8,11,13,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
12,13,12,12,14,7,8,13,14,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
11,13,13,14,14,11,12,12,14,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
11,12,15,14,14,11,11,14,13,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
9,12,15,14,14,11,12,14,13,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
12,11,13,14,15,13,12,13,13,21,meisterjaan; alter; holland; dragons; and; two; festival; roll; rock; raadio; eurosonic; the; kaks; erki; soonik
11,11,15,14,15,13,12,13,14,21,meisterjaan; alter; dragons; and; two; festival; roll; rock; erki; raadio; eurosonic; the; kaks; holland; soonik
