EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,6,6,5,5,5,7,11,jahimees; kutsikas; ulg; hunt; kari; murdma; territoorium; alfa
5,5,5,6,6,6,5,5,7,11,jahimees; kutsikas; ulg; hunt; kari; murdma; territoorium; alfa
5,5,5,6,6,7,5,5,7,11,jahimees; kutsikas; ulg; hunt; kari; murdma; territoorium; alfa
4,5,5,6,7,7,4,4,7,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
5,4,6,6,7,7,3,7,7,11,jahimees; kutsikas; ulg; hunt; kari; murdma; territoorium; alfa
6,7,6,5,8,7,5,6,8,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
6,8,6,7,7,8,5,6,8,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
6,7,6,7,6,6,7,6,7,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
5,5,6,7,6,5,5,6,8,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
4,5,6,7,7,6,6,5,6,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
5,6,5,6,7,5,7,6,7,11,jahimees; kutsikas; hunt; ulg; kari; murdma; territoorium; alfa
