EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,8,4,6,8,10,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
8,9,8,8,4,6,8,10,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
9,8,10,8,4,5,8,10,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
9,8,11,10,4,5,10,10,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
9,8,10,10,4,9,10,11,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
9,10,11,11,8,10,11,10,9,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
8,10,11,10,8,9,9,10,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
8,9,11,9,6,9,10,9,10,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,10,10,10,8,10,9,11,10,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
5,9,9,10,8,9,10,11,9,13,tsensuur; elken; kunstimaailm; kunst; formaat; näitus; meedia; eesti; marco; kunstiakadeemia; jaan
6,10,10,9,9,9,10,9,10,13,tsensuur; elken; kunstimaailm; kunst; näitus; formaat; meedia; eesti; marco; kunstiakadeemia; jaan
