EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,3,5,1,2,3,7,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
7,5,3,5,1,2,3,7,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
6,5,4,5,1,2,3,7,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
7,5,5,5,1,2,3,7,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
6,6,4,6,1,5,4,7,6,15,mets; kirik; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,6,7,6,2,4,4,7,6,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
4,6,7,6,3,7,5,5,8,15,mets; kirik; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
7,7,5,7,3,8,7,8,8,15,mets; kirik; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
6,7,7,7,5,7,3,8,7,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,7,7,6,5,5,6,6,7,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
5,6,6,5,7,6,7,7,7,15,kirik; mets; reimo; tõnis; eesti; haridus; geiaktivine; ühiskond; jurist; politsei
