EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,7,4,7,6,10,6,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
7,8,6,7,4,7,8,10,6,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
7,8,6,7,4,9,8,10,6,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
8,8,9,7,4,8,9,10,6,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
6,7,10,7,5,8,9,10,6,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
6,8,9,7,5,9,10,10,7,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
6,7,7,7,7,10,9,9,7,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
7,7,9,10,7,10,10,9,8,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
6,6,8,10,7,8,9,8,8,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
6,6,8,10,8,8,9,8,8,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
5,6,8,10,7,8,9,9,7,13,film; kodusõda; nõukogu; chapaev; liit; masnikova; prototüüp; stalin; propagandafilm; furmanov
