EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,8,7,3,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,9,8,7,3,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,9,8,7,4,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,9,10,7,4,10,11,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,7,11,7,4,9,11,9,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
11,6,9,8,4,10,10,10,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
8,6,9,9,4,9,10,8,7,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; mõistatus; lauluvihik; luulealbum; lillekimp
10,8,9,10,7,8,9,9,6,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
7,9,9,8,7,8,9,9,6,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
7,8,7,7,8,8,6,9,5,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
7,6,9,7,9,9,7,10,5,12,luulemaailm; kunstiteos; antoloogia; luule; luuletaja; tõlgendus; eesti; lauluvihik; mõistatus; luulealbum; lillekimp
