EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,10,9,8,9,10,10,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
9,10,10,9,8,9,10,10,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
9,10,10,9,8,9,10,10,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
9,10,10,9,8,10,10,10,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
9,9,10,9,8,9,10,10,9,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
9,9,10,9,8,10,10,10,10,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
9,10,10,10,8,10,10,10,10,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; kool; redel; poiss
10,10,10,10,8,10,10,10,10,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; kool; redel; poiss
10,10,10,10,8,10,10,10,10,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; redel; kool; poiss
10,10,10,9,8,10,10,10,10,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; kool; redel; poiss
10,10,10,8,9,10,10,9,10,11,lõpp; töö; katus; ronima; ema; kohvik; katariina; kool; redel; poiss
