EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,7,5,12,2,8,8,10,8,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,7,6,12,2,9,9,12,8,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,7,9,12,3,9,10,12,8,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,8,9,12,3,9,10,12,8,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
10,8,11,12,3,9,9,12,8,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,12,12,12,6,10,10,12,9,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,12,14,10,8,13,12,13,9,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,9,12,11,9,12,11,12,10,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
11,13,12,10,10,13,12,12,10,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
12,13,11,9,12,13,12,13,9,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
13,12,11,9,12,13,11,13,12,18,arnold; sotsiaaldemokraatlik; valimine; rahvusringhääling; tarmo; kohus; rahvaliit; koalitsioon; kuslap; strandberg; erakond; rüütel; roheline; voldemar
