EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,9,8,13,7,9,8,10,9,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
13,9,8,13,7,9,9,10,9,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
13,11,9,13,7,9,9,10,9,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
13,11,11,13,6,12,10,10,9,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
13,12,13,14,8,12,10,11,9,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
14,13,13,14,7,12,12,12,10,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
13,13,13,12,10,12,13,12,10,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
12,12,12,12,10,10,14,12,10,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
11,11,14,12,13,11,11,13,12,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
11,13,12,12,13,13,13,12,13,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
11,13,12,11,13,12,12,13,14,14,bänd; tmw; laul; kontsert; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
