EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,8,6,8,9,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
9,9,7,10,6,8,9,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
9,9,7,10,9,8,9,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
9,9,7,10,9,8,8,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
9,9,8,10,9,8,9,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
8,7,8,10,8,8,8,8,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
11,8,9,10,8,9,8,9,7,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; noorusarmastus; helilooja; protest; konservatoorium
10,9,8,10,9,10,9,9,8,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; protest; noorusarmastus; konservatoorium
11,8,10,9,9,10,8,10,9,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; noorusarmastus; protest; konservatoorium
10,8,10,10,9,9,10,10,9,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; protest; noorusarmastus; konservatoorium
10,8,11,10,10,11,11,10,9,12,screabin; saatus; kunst; jumal; sonaat; vene; looming; helilooja; protest; noorusarmastus; konservatoorium
