EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,3,4,3,4,4,3,4,11,polder; kraav; pauts; ekskavaator
4,4,3,4,3,4,4,3,4,11,polder; kraav; pauts; ekskavaator
4,4,2,4,3,4,4,4,4,11,polder; kraav; pauts; ekskavaator
4,4,2,4,3,4,4,4,4,11,polder; kraav; pauts; ekskavaator
4,4,3,4,3,4,4,3,4,11,polder; kraav; pauts; ekskavaator
4,4,4,4,3,4,4,4,4,11,polder; kraav; pauts; ekskavaator
3,3,4,3,4,4,3,4,4,11,kraav; polder; pauts; ekskavaator
3,3,4,4,4,4,3,4,4,11,kraav; polder; pauts; ekskavaator
3,3,4,4,4,4,3,4,4,11,kraav; polder; pauts; ekskavaator
2,3,4,4,4,4,3,4,4,11,kraav; polder; pauts; ekskavaator
2,3,4,4,4,4,4,4,4,11,kraav; polder; pauts; ekskavaator
