EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,7,7,7,6,8,8,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
8,8,7,7,7,7,7,9,8,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
9,8,8,7,5,8,7,9,8,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
9,8,8,7,5,8,7,9,8,10,keskkool; tele; töö; eriala; armastus; näitleja; raadio; raha; lavakas
9,7,9,8,6,8,9,9,8,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
8,8,9,8,6,8,9,8,8,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
8,8,9,9,7,9,8,9,8,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
7,9,9,9,7,9,9,9,8,10,keskkool; tele; töö; armastus; näitleja; raha; eriala; raadio; lavakas
8,8,9,7,7,8,8,8,8,10,keskkool; eriala; tele; töö; armastus; näitleja; raadio; raha; lavakas
7,9,9,9,9,8,9,9,9,10,keskkool; tele; töö; armastus; näitleja; raha; eriala; raadio; lavakas
8,8,9,7,9,9,9,7,9,10,keskkool; tele; eriala; töö; armastus; näitleja; raadio; raha; lavakas
