EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,5,2,1,1,4,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,3,5,2,1,2,4,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,3,5,2,2,2,4,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,4,5,2,2,2,4,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,4,4,5,2,3,5,5,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
5,5,5,5,3,3,4,6,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
6,6,6,6,3,4,4,6,5,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
6,6,6,5,6,4,5,6,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
6,6,6,6,6,5,6,6,4,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
6,4,6,5,6,4,5,6,6,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
6,5,6,4,6,4,4,5,6,15,muuseum; aasta; gruusia; laidoner; keedus; sulev
