EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,7,3,9,8,10,5,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
7,7,6,6,3,9,8,10,5,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,6,7,6,5,9,8,11,6,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,8,8,6,5,10,9,11,6,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
9,9,9,7,5,10,9,11,7,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,11,10,9,6,11,10,11,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
7,11,10,8,6,10,10,12,9,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,11,10,7,7,10,11,12,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
9,10,12,9,9,11,10,12,8,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
9,9,8,9,9,10,9,11,7,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
8,7,8,10,10,10,9,11,9,14,akvarell; sotsia; elken; kunst; biotehnoloogia; näitus; salajane; infotankist; aed; jaan; ränder; maa
