EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
15,15,15,15,15,15,15,15,15,16,kriska; keraamika; tööriist; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; narvas; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
