EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,6,3,3,2,4,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
7,6,5,6,4,3,2,5,7,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,6,5,6,5,3,2,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,6,5,6,3,3,2,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,6,5,6,5,3,2,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,6,6,7,6,4,2,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,8,5,7,6,5,5,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,8,5,8,6,6,6,7,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
8,8,4,8,7,4,6,6,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
7,6,6,8,7,6,5,5,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
7,7,6,8,7,6,7,7,6,14,estonia; teater; eesti; haridus; vene; laen; selts; kultuur
