EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,9,6,9,8,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,9,9,6,10,8,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,9,6,10,8,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,9,6,10,8,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,10,6,10,9,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,10,8,10,10,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,10,9,10,10,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,10,9,10,10,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
10,10,10,10,9,10,10,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,10,10,10,9,10,10,10,9,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,10,10,10,10,10,10,10,10,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
