EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,5,7,5,5,5,4,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
9,10,5,7,5,6,6,5,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
10,10,5,7,5,7,7,5,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
10,10,5,7,5,7,7,6,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
10,10,7,8,4,7,9,6,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
8,10,9,8,4,9,8,9,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
9,9,9,8,5,9,9,8,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
10,9,9,11,5,8,10,8,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
10,10,9,10,8,9,8,8,7,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
9,9,8,10,8,10,10,6,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
9,9,8,11,9,8,9,7,8,11,ettevõtlus; lill; põllumees; koduaeg; maaelu; maaleht; olümpiakomitee; liikumisharrastus; tervisesport; aasta; köögivili
