EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,8,7,2,8,8,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,6,8,7,3,8,8,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,6,8,7,4,8,8,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,6,8,7,4,8,7,7,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
10,7,9,9,4,8,7,8,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
8,9,9,10,4,9,9,10,7,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
11,9,10,10,5,9,9,9,7,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
9,7,10,8,6,9,9,11,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
7,7,9,10,8,9,9,10,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
4,8,9,10,8,9,9,11,8,12,esinemine; näitleja; endel; vanemuine; nikerdamine; ani; spinning; karu; elmar; muusika; salulaht
4,6,9,10,9,9,7,10,7,12,esinemine; näitleja; endel; vanemuine; nikerdamine; spinning; ani; karu; elmar; muusika; salulaht
