EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,3,5,2,7,2,8,4,13,bänd; hasso; oidipus; polüfoonilisus; luulekogu; rütm; merilai; pehk; jaan; arne; arvumaa; krull
8,5,3,6,2,7,4,9,4,13,bänd; hasso; oidipus; polüfoonilisus; luulekogu; rütm; merilai; pehk; jaan; arne; arvumaa; krull
6,7,3,6,3,8,6,9,4,13,bänd; hasso; oidipus; luulekogu; polüfoonilisus; rütm; merilai; pehk; jaan; arne; arvumaa; krull
6,7,2,6,2,9,7,10,4,13,bänd; hasso; oidipus; luulekogu; polüfoonilisus; rütm; merilai; pehk; jaan; arne; arvumaa; krull
6,7,4,6,2,9,8,9,4,13,bänd; hasso; oidipus; luulekogu; polüfoonilisus; rütm; merilai; pehk; jaan; arne; arvumaa; krull
2,7,10,6,6,10,9,10,4,13,bänd; hasso; oidipus; polüfoonilisus; luulekogu; rütm; merilai; pehk; jaan; arne; arvumaa; krull
5,5,9,7,7,7,5,10,5,13,bänd; hasso; oidipus; polüfoonilisus; luulekogu; rütm; merilai; pehk; jaan; arne; arvumaa; krull
7,5,8,9,8,10,8,7,5,13,bänd; hasso; oidipus; polüfoonilisus; luulekogu; rütm; merilai; pehk; jaan; arne; arvumaa; krull
5,6,11,8,8,7,9,8,5,13,bänd; hasso; oidipus; luulekogu; polüfoonilisus; rütm; merilai; pehk; jaan; arne; arvumaa; krull
5,6,9,7,7,7,7,8,7,13,bänd; hasso; oidipus; luulekogu; polüfoonilisus; rütm; merilai; pehk; jaan; arne; arvumaa; krull
4,5,9,7,8,6,6,7,8,13,bänd; hasso; oidipus; luulekogu; polüfoonilisus; rütm; merilai; pehk; jaan; arne; arvumaa; krull
