EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,4,9,4,8,9,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,4,9,4,8,9,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,4,9,4,8,8,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,8,9,4,9,9,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,9,9,4,8,9,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,10,10,7,9,9,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,10,10,9,10,9,10,8,12,soomaa; tänutunne; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
9,10,10,10,10,10,10,10,8,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,10,10,10,10,10,10,9,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
10,10,10,10,10,10,10,10,10,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
9,10,10,10,10,10,10,10,10,12,tänutunne; soomaa; vaike; mait; tantsupidu; hing; isetegemine; metsamaa; heinamaa; agu
