EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,9,8,4,7,7,8,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
9,5,9,8,4,7,7,8,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
9,5,7,8,4,8,7,9,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
10,5,8,8,6,8,8,9,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
10,7,9,9,5,8,10,9,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
11,5,10,8,6,10,10,9,6,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
9,6,11,6,6,11,11,9,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
9,5,10,8,5,11,10,9,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
9,7,10,5,5,11,10,8,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
6,8,9,7,6,11,9,10,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
6,8,10,7,5,10,8,8,7,13,laps; alver; arseenik; lesk; kool; kurat; bett; mõrane; argus; peegel; rätsep
