EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,10,10,11,1,6,5,6,7,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; elanikkond; kliimamuutus; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
13,11,10,11,1,6,5,7,7,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
13,11,11,10,0,6,5,8,7,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
13,12,12,10,1,8,6,10,7,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
12,12,14,11,1,10,8,9,7,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
12,10,13,12,2,10,12,11,7,19,rudolf; kosmosesüstik; mesila; euroopa; kreeka; abistamine; kliimamuutus; elanikkond; liit; festival; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,11,10,13,4,10,10,10,8,19,rudolf; kosmosesüstik; mesila; kreeka; euroopa; abistamine; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
9,9,13,12,7,10,11,11,9,19,rudolf; kosmosesüstik; mesila; abistamine; kreeka; euroopa; kliimamuutus; liit; festival; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
7,9,11,12,9,10,10,10,9,19,rudolf; kosmosesüstik; mesila; abistamine; kreeka; euroopa; elanikkond; kliimamuutus; festival; liit; pärimusmuusika; muinaslaev; taal; bulgaaria; usa
9,9,10,11,9,12,10,10,9,19,rudolf; kosmosesüstik; mesila; abistamine; kreeka; euroopa; kliimamuutus; festival; liit; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
8,10,12,11,10,12,11,12,10,19,rudolf; kosmosesüstik; mesila; euroopa; abistamine; kreeka; kliimamuutus; liit; festival; pärimusmuusika; usa; muinaslaev; taal; bulgaaria; elanikkond
