EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,3,4,3,4,3,6,5,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
7,7,4,4,3,4,5,6,5,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
8,7,5,5,3,4,6,8,5,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
9,7,7,5,3,4,6,8,7,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
9,7,6,5,3,5,6,8,7,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
8,7,7,5,3,8,3,8,8,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
9,6,6,7,6,9,8,8,9,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
8,5,8,9,7,8,8,9,9,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
8,7,9,9,9,8,7,9,9,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
8,6,9,9,9,9,7,8,9,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
7,5,9,9,9,7,7,7,9,12,chachapoyas; poeg; linn; muumia; ink; kindlus; päike; ant; surnu
