EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,4,7,4,5,8,7,7,11,vägivald; põgenema; julgeolek; süüdistus; metsavend; elmar; ülekuulamine; kamber; vangla; mors; hanso
7,8,6,7,4,7,8,7,7,11,julgeolek; süüdistus; metsavend; ülekuulamine; kamber; vangla; vägivald; põgenema; elmar; mors; hanso
7,8,7,8,4,7,9,7,7,11,julgeolek; süüdistus; metsavend; kamber; ülekuulamine; vangla; vägivald; põgenema; elmar; mors; hanso
7,8,7,8,4,6,10,8,7,11,julgeolek; süüdistus; metsavend; kamber; ülekuulamine; vangla; vägivald; põgenema; elmar; mors; hanso
7,9,9,8,6,7,10,7,7,11,julgeolek; süüdistus; metsavend; ülekuulamine; kamber; vangla; vägivald; põgenema; elmar; mors; hanso
6,8,8,8,6,8,11,9,7,11,julgeolek; süüdistus; metsavend; ülekuulamine; kamber; vangla; vägivald; põgenema; elmar; mors; hanso
8,8,8,9,6,9,10,7,7,11,julgeolek; süüdistus; metsavend; ülekuulamine; vangla; kamber; vägivald; põgenema; elmar; mors; hanso
6,7,7,11,6,9,10,8,7,11,julgeolek; süüdistus; metsavend; kamber; vangla; ülekuulamine; vägivald; põgenema; elmar; mors; hanso
6,5,7,9,6,8,10,8,7,11,julgeolek; süüdistus; metsavend; kamber; vangla; ülekuulamine; vägivald; põgenema; elmar; mors; hanso
5,8,10,10,6,8,9,8,8,11,julgeolek; süüdistus; metsavend; kamber; vangla; ülekuulamine; vägivald; põgenema; elmar; mors; hanso
5,9,9,10,6,9,9,9,8,11,julgeolek; süüdistus; metsavend; kamber; vangla; ülekuulamine; vägivald; põgenema; elmar; mors; hanso
