EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,12,12,11,8,10,12,12,13,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; draiv; kosmos; rock; veiko; raadio; onu; kristo; singer; kaks; café
13,12,12,11,8,10,12,12,13,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; draiv; kosmos; rock; veiko; raadio; onu; kristo; singer; kaks; café
13,12,12,12,9,10,12,12,13,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; draiv; kosmos; rock; veiko; raadio; onu; kristo; singer; kaks; café
12,12,12,12,13,12,15,12,13,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
12,12,13,12,12,12,12,12,12,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
12,11,14,11,10,14,13,14,12,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
9,10,15,12,12,15,13,15,13,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
8,11,15,12,12,15,13,14,12,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
3,12,13,12,13,14,12,13,10,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; draiv; kosmos; rock; veiko; raadio; onu; kristo; singer; kaks; café
5,11,13,12,12,12,12,13,7,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
5,12,12,11,12,13,11,14,7,15,vinger; muusikanõunik; kontsert; sünnipäev; rajasaar; kosmos; draiv; rock; veiko; raadio; onu; kristo; singer; kaks; café
