EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,10,9,12,8,7,7,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,10,9,12,8,7,10,10,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,10,10,12,8,7,10,10,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,10,9,12,8,9,11,11,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,10,11,12,8,9,11,12,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,10,12,12,8,12,12,12,11,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
12,10,12,12,11,12,12,12,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
11,11,12,12,11,11,12,12,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,11,12,11,12,11,12,12,12,13,soots; koolitus; valgamaa; taul; konkurent; kodukohvik; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,12,12,11,12,12,12,12,12,13,soots; koolitus; valgamaa; taul; kodukohvik; konkurent; ants; marika; mõis; turismitalu; piimaköök; riidaja
9,11,12,11,11,12,12,12,12,13,soots; koolitus; taul; valgamaa; kodukohvik; konkurent; ants; marika; mõis; turismitalu; piimaköök; riidaja
