EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,10,7,5,6,5,7,7,4,11,liit; lammutama; detailplaneering; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
6,10,8,5,6,5,7,7,4,11,liit; lammutama; detailplaneering; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
6,10,7,5,6,6,7,8,4,11,liit; lammutama; detailplaneering; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
6,10,6,5,6,6,8,8,4,11,liit; lammutama; detailplaneering; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
6,9,7,6,6,7,8,9,4,11,liit; lammutama; detailplaneering; looming; kritiseerima; eetika; keskkond; arendaja; tellija; arhitektuur; arhitekt
7,8,7,8,8,7,8,9,5,11,liit; detailplaneering; lammutama; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
7,8,9,10,9,9,9,9,5,11,liit; detailplaneering; lammutama; looming; kritiseerima; eetika; keskkond; arendaja; tellija; arhitektuur; arhitekt
7,9,6,10,8,9,10,9,5,11,liit; detailplaneering; lammutama; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
7,7,9,10,9,8,9,7,6,11,liit; detailplaneering; lammutama; looming; kritiseerima; eetika; keskkond; arendaja; tellija; arhitektuur; arhitekt
7,10,7,10,10,9,9,7,5,11,tellija; liit; detailplaneering; lammutama; looming; kritiseerima; eetika; keskkond; arendaja; arhitektuur; arhitekt
8,8,9,10,8,7,8,7,5,11,liit; detailplaneering; lammutama; looming; kritiseerima; arhitektuur; eetika; keskkond; tellija; arendaja; arhitekt
