EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,10,4,7,10,10,9,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
8,8,8,11,4,8,10,10,9,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
8,8,10,11,4,8,10,9,9,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
8,9,9,11,4,10,10,11,9,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
9,10,11,12,6,9,11,11,10,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
9,10,10,12,6,9,10,11,10,13,villem; fresko; kristus; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
11,10,11,12,8,9,10,11,10,13,kristus; villem; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
8,11,11,12,7,10,10,11,10,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
6,10,11,11,10,11,10,11,10,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
6,11,12,11,11,10,10,12,10,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
7,10,12,11,11,10,9,10,11,13,villem; kristus; fresko; lutsifer; stackelberg; ilus; mõisavalitseja; sakslane; eesti; kirik; kaarli; köler
