EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,9,11,5,9,8,9,12,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,10,11,11,5,9,9,9,12,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,10,11,11,5,8,9,9,12,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,10,13,12,6,8,9,10,12,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
11,10,13,12,6,9,9,10,12,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
12,11,13,11,8,12,8,9,11,15,lübeck; rõdu; suurgilt; leimus; erakogu; ekspositsioon; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,11,14,11,8,11,12,13,11,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,10,13,11,9,12,10,11,11,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,9,13,8,9,13,10,12,11,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
13,10,13,7,9,14,9,10,9,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
12,10,13,6,10,13,10,10,8,15,lübeck; rõdu; suurgilt; leimus; ekspositsioon; erakogu; ajaloomuuseum; muusik; kontsert; kelder; ivar; kaupmees; tõnis; hoone
