EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,8,8,4,6,7,8,6,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
11,9,9,8,4,6,7,8,6,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
11,9,9,8,4,6,7,9,6,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
11,9,9,9,3,6,8,9,7,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
11,9,11,10,3,7,9,10,7,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
10,10,10,10,4,9,9,10,7,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
8,9,10,9,6,10,9,11,7,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
8,8,11,9,6,8,9,11,7,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
7,10,11,9,8,10,9,11,9,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
8,8,10,9,8,10,11,11,9,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
8,10,11,9,9,10,9,11,9,11,tallinn; perekond; õpetaja; laulma; medell; ansambel; muusika; esinema; kuressaare; sirje; karjäär
