EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,5,6,1,4,5,6,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
5,7,6,7,1,5,5,6,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
5,6,6,7,1,5,5,6,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
5,6,6,7,2,5,5,7,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
5,6,6,7,2,5,5,7,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
5,7,6,7,4,6,6,7,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
4,7,6,7,5,6,7,7,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
7,7,7,7,6,7,7,7,4,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
5,7,7,7,6,7,7,7,6,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
6,7,7,6,7,7,7,7,6,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
6,7,7,6,7,7,7,7,6,12,baltika; kunila; enn; gazprom; liit; kreeka; euroopa
