EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,4,5,5,5,7,5,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
6,6,4,5,5,6,6,7,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
6,6,4,7,5,6,7,7,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
6,6,4,7,5,7,7,7,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
7,7,5,7,4,7,6,5,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
6,7,6,7,3,9,6,6,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
7,8,4,7,3,5,7,9,6,11,loodus; jaanitul; kiik; viljasaak; austamine; lauluväljak; õlletegu; kolhoos; jaanipidu; vanarahvas
7,8,7,5,4,4,6,8,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
8,7,6,4,5,5,6,7,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
9,6,5,5,5,7,6,7,8,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
9,7,4,5,5,5,4,7,6,11,viljasaak; austamine; lauluväljak; õlletegu; kolhoos; loodus; jaanipidu; jaanitul; kiik; vanarahvas
