EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,6,9,4,6,6,8,6,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,9,4,5,6,8,6,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,9,4,5,5,8,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,6,9,4,5,6,9,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,7,9,4,8,9,9,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,10,9,8,7,10,10,7,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
10,10,10,10,8,8,10,10,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
7,10,8,9,9,7,9,9,9,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
6,9,9,9,9,8,8,9,8,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
5,8,8,9,10,8,9,9,8,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
5,8,10,8,9,8,8,10,8,15,mandingo; paavo; sekk; maa; lääne-aafrika; rütm; muusikaline; popmuusika; mansour; traditsioon
