EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
13,11,8,12,6,7,7,7,9,18,hans; isis; ülikool; konverents; hindper; jarmuk; kontsert; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
13,11,11,12,6,7,10,8,9,18,hans; isis; ülikool; konverents; hindper; jarmuk; kontsert; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
11,12,11,12,7,7,10,10,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
11,12,11,12,8,7,10,9,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
11,12,12,13,8,9,12,10,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
11,12,12,12,8,9,13,11,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
10,11,13,11,9,8,12,13,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
10,11,13,10,11,11,12,13,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
10,11,12,11,10,13,11,13,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
7,10,12,10,10,11,12,13,9,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
8,9,10,9,11,10,11,11,10,18,hans; isis; ülikool; konverents; hindper; kontsert; jarmuk; eesti; koolitulistamine; nädal; usuäärmuslus; restoran; laager
