EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,8,9,7,8,9,10,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
9,9,8,9,7,8,9,9,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
9,8,8,9,7,8,9,10,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
9,8,8,9,7,8,8,10,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,8,9,9,7,7,9,10,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,8,10,9,8,9,10,10,8,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
9,9,10,10,8,9,9,10,9,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
9,8,10,10,10,10,9,10,7,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
10,8,10,9,10,7,8,9,7,11,naisoboemängija; sport; inglissarv; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,5,10,8,10,7,9,9,8,11,naisoboemängija; inglissarv; sport; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
8,8,10,8,10,10,9,9,9,11,naisoboemängija; inglissarv; sport; oboe; orkester; saksamaa; repertuaar; klassikatäht; ingeli; muusikakeskkool
