EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,7,7,7,7,7,7,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
8,9,7,7,7,7,8,8,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
8,9,8,7,7,6,8,8,7,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
8,10,9,7,6,6,8,9,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
8,9,9,7,5,7,8,9,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
7,9,9,7,5,7,9,9,6,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
7,9,10,8,5,9,10,9,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
6,9,9,9,7,8,10,9,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kuulsus; kirjanik; raamatukauplus; kirjastaja
7,9,9,9,4,6,10,9,8,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
6,9,10,8,6,8,9,9,6,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
7,7,10,8,8,8,10,6,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
