EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,7,8,8,7,9,7,8,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,10,8,8,8,7,9,7,8,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,10,9,8,8,8,8,8,8,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,9,9,8,9,7,9,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,11,8,9,9,9,7,9,8,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
10,10,9,10,9,8,8,10,8,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,11,10,10,9,7,8,10,5,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,10,10,9,9,5,7,10,7,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,8,9,9,9,7,6,11,8,15,nukuteater; vain; kultus; draama; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,8,9,10,9,5,6,12,10,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
8,9,7,8,9,7,8,11,10,15,nukuteater; vain; draama; kultus; rituaal; tants; muusikakultuur; muusikaline; birma; ansambel; natt; trumm
